text,sentiment,positive,neutral,negative
I have several of goodhyouman shirts and i get so many compliments on them. ,positive,0.76,0.23,0.01
This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit. ,positive,1,0,0
Beautifully made pants and on trend with the flared crop. ,positive,1,0,0
"I never would have given these pants a second look online, in person they are much cuter! ",positive,0.81,0.17,0.02
These pants are even better in person. ,positive,0.98,0.02,0
"I ordered this 3 months ago, and it finally came off back order. ",neutral,0.02,0.97,0.01
This is such a neat dress. ,positive,0.99,0.01,0
Wouldn't have given them a second look but tried them on in store of a whim. ,negative,0,0.19,0.81
This is a comfortable skirt that can span seasons easily. ,positive,0.99,0.01,0
"Just ordered this in a small for me (5'6"", 135, size 4) and medium for my mom (5'3"", 130, size 8) and it is gorgeous - beautifully draped, all the weight/warmth i'll need for houston fall and winter, looks polished snapped or unsnapped. ",positive,1,0,0
Super cute and comfy pull over. ,positive,1,0,0
Great casual top with flare. ,positive,1,0,0
Pretty and unique. ,positive,1,0,0
This is a beautiful top. ,positive,1,0,0
"This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels. ",positive,1,0,0
"First, this is thermal ,so naturally i didn't expect super sheer, but it is. ",neutral,0.03,0.95,0.02
Tried this on today at my local retailer and had to have it. ,neutral,0.01,0.99,0
I bought this item from online... ,neutral,0.02,0.96,0.01
I love this top. ,positive,1,0,0
"Very comfortable, material is good, cut out on sleeves flattering",positive,1,0,0
This sweater is perfect for fall...,positive,0.99,0.01,0
Really cute top! ,positive,1,0,0
This is a cute top that can transition easily from summer to fall. ,positive,1,0,0
I absolutely love this bib tee! ,positive,1,0,0
"Love the color and style, but material snags easily",positive,1,0,0
Very soft and comfortable. ,positive,0.98,0.02,0
Nice top. ,positive,1,0,0
This is an adorable top that i find to be extremely comfortable. ,positive,1,0,0
I am pregnant and i thought this would be a great sleep bra. ,positive,1,0,0
This tank fit well and i loved the ruffle in the back and how it layed. ,positive,1,0,0
"I got this in the petite length, size o, and it fit just right. ",positive,0.95,0.05,0
I've been looking for bralettes that provide some support but not binding/tight for night time and casual wear. ,positive,0.71,0.22,0.07
This dress is simply beautiful and stunning. ,positive,1,0,0
"3 tags sewn in, 2 small (about 1'' long) and 1 huge (about 2'' x 3''). ",neutral,0,0.91,0.09
I recently got this on sale after looking at it forever on my wish list. ,neutral,0.15,0.84,0.01
"Very comfortable shirt, light weight top with lovely floral colors. ",positive,1,0,0
Loved this top and was really happy to find it on sale!,positive,1,0,0
"Beautiful top, but delicate! ",positive,1,0,0
"Just received this in the mail, tried it on and am smitten. ",neutral,0.02,0.6,0.38
Love this top! ,positive,1,0,0
I really loved this top online and wanted to love it in person. ,positive,1,0,0
I really wanted this to work. ,neutral,0.06,0.92,0.01
"This top is so cute, but it is massively babydoll shaped (a- line) which is not apparent from the pictures. ",positive,0.68,0.08,0.24
Why do designers keep making crop tops??!! ,neutral,0.09,0.8,0.11
I have a short torso and this works well for me. ,positive,0.94,0.05,0
I love this top. ,positive,1,0,0
I passed up this dress so many times in the store and finally tried it on today because i wanted a casual dress while traveling in the cape. ,neutral,0.25,0.73,0.02
I am so drawn to baby doll and boxy shirts so i immediately tried this on in the store. ,neutral,0.04,0.95,0.01
I would have loved this dress if the bust and waist were just a little more fitted. ,positive,1,0,0
The zipper broke on this piece the first time i wore it. ,negative,0,0,1
I usually size up with this brand. ,neutral,0,1,0
"This dress is adorable - it's a perfect casual look for summer and the quality is nice with the lining (though still overpriced, in my opinion). ",positive,1,0,0
I am usually a petite 6 but since this dress did not come in petites i tried on 4 and it fit. ,neutral,0,0.99,0.01
Loved this top. ,positive,1,0,0
The rest of the reviewers are right about the color being in accurately pictured. ,neutral,0.36,0.62,0.01
I purchased this top in an antro store last week. ,neutral,0,1,0
I received this shirt in my typical xs and it fits perfectly. ,positive,1,0,0
"I was really hoping to like this, but it did not look the way it does on the model, at least not on me. ",negative,0.14,0.34,0.52
"I tried this on from the sale section, and they only had a 2 (i usually do 0), and surprisingly, that size was the right fit. ",positive,0.78,0.21,0.01
"I debated n that as i think it looks loose on the model, but if i was to tighten it, it looks a lot more flattering... ",neutral,0.21,0.51,0.29
"Really cute piece, but it's huge. ",positive,0.97,0.02,0.01
I bought this top online in the burnt orange color and was so excited to get it. ,positive,0.99,0.01,0
"I love cute summer dresses and this one, especially because it is made out of linen, is unique. ",positive,1,0,0
This top is so much prettier in real life than it is on the model. ,positive,0.92,0.08,0
nan,neutral,0.09,0.9,0.01
nan,neutral,0.09,0.9,0.01
This shirt caught my eye because of how beautiful it was. ,positive,0.99,0.01,0
"Purchased this top online, and when i received it was very pleased.  ",positive,1,0,0
I usually wear a medium and bought a small. ,neutral,0,1,0
I was very excited to order this top in red xs. ,positive,0.99,0.01,0
nan,neutral,0.09,0.9,0.01
I am in need of easy comfortable tops for everyday wear. ,positive,0.99,0.01,0
